epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,6742.02,1.07815,0.62749,0.87236,0.56501,0.43217,0.45134,0.27556,1.16158,0.80871,0.8878,0.003169,0.003169,0.003169
71,6840.89,1.07643,0.62672,0.86993,0.56171,0.43642,0.45415,0.27582,1.16012,0.80537,0.8887,0.00307,0.00307,0.00307
72,6935.97,1.07637,0.62479,0.87011,0.57163,0.43188,0.45345,0.27727,1.15939,0.8037,0.8884,0.002971,0.002971,0.002971
73,7031.15,1.07315,0.61993,0.87074,0.5795,0.42779,0.45394,0.27751,1.1576,0.80696,0.88756,0.002872,0.002872,0.002872
74,7127.09,1.07733,0.62279,0.86835,0.56719,0.43133,0.45236,0.27695,1.16071,0.80754,0.88799,0.002773,0.002773,0.002773
75,7171.01,1.06001,0.60984,0.8689,0.56396,0.43468,0.45254,0.27669,1.16317,0.81058,0.88791,0.002674,0.002674,0.002674
76,7215.02,1.06067,0.60793,0.86939,0.56109,0.43512,0.45107,0.27511,1.16096,0.80964,0.88856,0.002575,0.002575,0.002575
77,7258.76,1.06074,0.60902,0.86568,0.56099,0.43314,0.44994,0.27444,1.16121,0.81071,0.8883,0.002476,0.002476,0.002476
78,7302.78,1.05927,0.60641,0.86625,0.5767,0.42636,0.44934,0.27502,1.1591,0.80824,0.8881,0.002377,0.002377,0.002377
79,7346.72,1.05095,0.60017,0.86678,0.57046,0.43071,0.45106,0.27516,1.15768,0.80763,0.88751,0.002278,0.002278,0.002278
80,7390.62,1.0523,0.60026,0.86521,0.58228,0.42653,0.45254,0.27644,1.15803,0.80825,0.88797,0.002179,0.002179,0.002179
81,7473,1.05213,0.59504,0.86564,0.58959,0.42233,0.45148,0.27577,1.15969,0.81637,0.88734,0.00208,0.00208,0.00208
82,7568.42,1.0504,0.59204,0.86492,0.56702,0.43059,0.45078,0.27481,1.16173,0.82118,0.8886,0.001981,0.001981,0.001981
83,7664.36,1.04091,0.58814,0.86211,0.56701,0.43223,0.45166,0.27526,1.16418,0.81741,0.88965,0.001882,0.001882,0.001882
84,7762.57,1.04136,0.58735,0.86347,0.5774,0.42701,0.45237,0.27542,1.16288,0.81778,0.88885,0.001783,0.001783,0.001783
85,7857.87,1.03843,0.58285,0.86178,0.57743,0.42743,0.45173,0.27461,1.16392,0.8194,0.88871,0.001684,0.001684,0.001684
86,7954.49,1.03815,0.58198,0.86202,0.57804,0.42677,0.45091,0.27444,1.16453,0.82017,0.88945,0.001585,0.001585,0.001585
87,8051.81,1.03073,0.57683,0.85999,0.5625,0.43518,0.45069,0.27381,1.16283,0.81982,0.88876,0.001486,0.001486,0.001486
88,8146.53,1.02576,0.57166,0.85901,0.55343,0.43747,0.44933,0.27393,1.16502,0.82258,0.88834,0.001387,0.001387,0.001387
89,8243.19,1.02846,0.57229,0.85954,0.56167,0.42854,0.44851,0.27267,1.16753,0.82415,0.88896,0.001288,0.001288,0.001288
90,8340.24,1.02694,0.57232,0.85986,0.56814,0.42726,0.4487,0.27265,1.16665,0.82289,0.88857,0.001189,0.001189,0.001189
91,8433.34,1.01512,0.55529,0.86247,0.56335,0.4309,0.44731,0.27144,1.16911,0.82268,0.88919,0.00109,0.00109,0.00109
92,8525.78,1.00437,0.54419,0.859,0.56962,0.42652,0.4466,0.27103,1.17107,0.82455,0.89024,0.000991,0.000991,0.000991
93,8621.86,1.0017,0.54229,0.85898,0.57565,0.42546,0.44619,0.27033,1.17074,0.82382,0.89051,0.000892,0.000892,0.000892
94,8714.15,0.99487,0.53698,0.85854,0.5805,0.42097,0.44381,0.26961,1.17117,0.82639,0.89079,0.000793,0.000793,0.000793
95,8806.42,0.99068,0.53275,0.85767,0.57495,0.42299,0.44337,0.26914,1.17055,0.8276,0.89086,0.000694,0.000694,0.000694
96,8902.81,0.98602,0.52667,0.85569,0.57951,0.41905,0.44344,0.26928,1.17085,0.8297,0.89086,0.000595,0.000595,0.000595
97,8994.96,0.98332,0.52537,0.85539,0.58432,0.419,0.44421,0.26966,1.16962,0.83003,0.89081,0.000496,0.000496,0.000496
98,9087.12,0.98146,0.5225,0.85387,0.5718,0.425,0.44393,0.26915,1.17095,0.83142,0.89174,0.000397,0.000397,0.000397
99,9183.05,0.97904,0.52139,0.85409,0.5773,0.42068,0.44383,0.26852,1.17253,0.83413,0.89213,0.000298,0.000298,0.000298
100,9275.18,0.97914,0.52045,0.85451,0.57156,0.42353,0.44415,0.2685,1.17141,0.83509,0.89186,0.000199,0.000199,0.000199
